word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
处罚决定,0.031233,0.240051,0.403583,0.040984,0.086093
国家企业,0.004027,0.198581,0.176613,0.097527,0.770950
部门审批,0.016562,0.299038,0.431223,0.126761,0.039106
合理使用,0.011956,0.525532,0.516049,0.025641,0.127119
行为进行,0.014054,0.263122,0.463752,0.053977,0.113703
或者破坏,0.012294,0.480443,0.481354,0.064516,0.057143
批准文件,0.041323,0.644193,0.493806,0.058824,0.013498
决定或者,0.011931,0.334703,0.467395,0.086093,0.064516
排污单位,0.023785,0.331400,0.485184,0.032847,0.082515
节能规划,0.006857,0.380937,0.257704,0.050193,0.304167
或者减轻,0.020496,0.394228,0.461061,0.064516,0.042553
征收管理,0.007190,0.447131,0.397666,0.020548,0.387978
编制工作,0.011407,0.268411,0.388046,0.067961,0.125909
任何单位,0.089618,0.474927,0.196492,0.014706,0.082515
农业建设,0.010467,0.099937,0.427293,0.193042,0.117526
本级人民,0.129639,0.747248,0.173870,0.002478,0.242506
察委员会,0.038769,0.046705,0.624575,0.012012,0.744538
人员进行,0.013994,0.322856,0.415991,0.047271,0.113703
机构应当,0.063807,0.643724,0.768328,0.062372,0.005085
全国环境,0.003845,0.161104,0.264919,0.175279,0.347826
投资计划,0.003355,0.314743,0.162183,0.242991,0.239852
规定履行,0.010515,0.151756,0.255491,0.083333,0.292683
进行卫生,0.005481,0.461091,0.127502,0.113703,0.271104
环境排放,0.015006,0.129082,0.504298,0.347826,0.029197
安全状况,0.004899,0.297871,0.264919,0.109689,0.233010
人员依法,0.079549,0.200849,0.169309,0.047271,0.077206
科学合理,0.009039,0.500750,0.445354,0.190844,0.025641
统筹协调,0.020366,0.559020,0.517689,0.037618,0.044487
另有规定,0.043824,0.359629,0.094480,0.079365,0.083333
现场进行,0.010219,0.307561,0.353225,0.077491,0.113703
信息共享,0.017060,0.601138,0.374079,0.221889,0.011461
接受监督,0.010744,0.378424,0.168565,0.065903,0.215976
标准实施,0.006811,0.447131,0.397666,0.307116,0.026217
应急计划,0.013452,0.406384,0.312772,0.023729,0.239852
统计制度,0.006269,0.461091,0.171482,0.191223,0.102606
监测规范,0.015933,0.389049,0.273944,0.085799,0.066667
污染或者,0.006388,0.182356,0.338795,0.379630,0.064516
规划草案,0.014175,0.506449,0.450422,0.304167,0.009804
产品生产,0.006647,0.248550,0.397666,0.184492,0.079301
以及其他,0.058051,0.972467,0.781072,0.008493,0.025641
作出行政,0.076212,0.798205,0.171521,0.008448,0.108902
提高劳动,0.005176,0.297871,0.264919,0.076246,0.307522
农业服务,0.004363,0.161104,0.143282,0.193042,0.492063
安全监督,0.101238,0.043343,0.091412,0.109689,0.215976
合理开发,0.013798,0.528927,0.321977,0.025641,0.157262
环境服务,0.001576,0.198581,0.176613,0.347826,0.492063
重大环境,0.012251,0.351677,0.239624,0.026316,0.347826
能源效率,0.026946,0.599094,0.054669,0.099609,0.106952
保护区域,0.017465,0.256505,0.521045,0.084531,0.047319
占用土地,0.024111,0.438802,0.375829,0.023392,0.100358
政府规定,0.013217,0.082176,0.273944,0.376324,0.083333
擅自进行,0.003088,0.314743,0.279924,0.300000,0.113703
城市郊区,0.005448,0.161104,0.143282,0.169576,0.434783
应当遵守,0.058354,0.485423,0.554094,0.005085,0.115385
及时报告,0.011884,0.348056,0.402860,0.053097,0.103659
政府发展,0.005337,0.143361,0.268792,0.376324,0.118442
根据经济,0.007617,0.355953,0.338795,0.032520,0.305709
办公场所,0.009270,0.273800,0.243511,0.441176,0.033473
控制活动,0.001701,0.198581,0.176613,0.507246,0.301333
粮食储备,0.004324,0.314743,0.279924,0.196850,0.121387
应当根据,0.093251,0.639889,0.920287,0.005085,0.032520
措施进行,0.002726,0.314743,0.162183,0.571429,0.113703
工业垃圾,0.001832,0.198581,0.176613,0.140459,1.000000
处置费用,0.027331,0.565249,0.523826,0.024590,0.045361
组织不得,0.005913,0.381658,0.410082,0.605114,0.015945
侵权责任,0.009312,0.117495,0.104497,0.125000,0.623932
设备进行,0.004061,0.297871,0.264919,0.244552,0.113703
射线装置,0.020181,0.331467,0.388493,0.058252,0.058685
设计使用,0.002883,0.314743,0.279924,0.273608,0.127119
推广工作,0.010968,0.189532,0.319895,0.105485,0.125909
保护耕地,0.005720,0.381658,0.339437,0.084531,0.140845
单位不得,0.024104,0.559271,0.497401,0.082515,0.015945
控制标准,0.001613,0.198581,0.176613,0.507246,0.307116
监测制度,0.011723,0.524572,0.162183,0.085799,0.102606
清洁能源,0.018575,0.540000,0.404051,0.021635,0.099609
造成严重,0.033685,0.421171,0.322388,0.026119,0.072674
发电企业,0.005964,0.272245,0.242127,0.028617,0.770950
超过国家,0.032339,0.695311,0.396500,0.009967,0.097527
破坏社会,0.005138,0.397162,0.143282,0.057143,0.518587
临时建设,0.009146,0.365860,0.375847,0.058394,0.117526
单位违反,0.010217,0.477714,0.229384,0.082515,0.093333
隔离治疗,0.009360,0.513324,0.456537,0.138889,0.028169
耕地质量,0.003263,0.314743,0.279924,0.140845,0.211679
保护范围,0.020726,0.444607,0.379093,0.084531,0.029014
工程竣工,0.002025,0.198581,0.176613,0.119754,1.000000
管理范围,0.010117,0.397162,0.187435,0.387978,0.029014
加强农业,0.011571,0.480443,0.520602,0.015138,0.193042
监测机构,0.011618,0.373325,0.363613,0.085799,0.062372
机构进行,0.006691,0.447131,0.397666,0.062372,0.113703
综合交通,0.001963,0.198581,0.176613,0.658537,0.184989
所在地区,0.027297,0.248119,0.174525,0.030769,0.227468
规定报告,0.009357,0.210750,0.485685,0.083333,0.103659
综合防治,0.004483,0.297871,0.353225,0.658537,0.026578
使用财政,0.004179,0.397162,0.143282,0.127119,0.273006
废物处置,0.053973,0.271307,0.452966,0.050505,0.024590
使用节能,0.009710,0.496452,0.264919,0.127119,0.050193
拍卖或者,0.006640,0.381658,0.268792,0.184211,0.064516
使用或者,0.006457,0.447131,0.338795,0.127119,0.064516
停止生产,0.022851,0.396894,0.272893,0.040816,0.079301
作出处理,0.015167,0.612615,0.250489,0.008448,0.405738
规划区内,0.024517,0.464533,0.486189,0.304167,0.004732
组织制定,0.009525,0.347517,0.485685,0.605114,0.008143
合作经济,0.017110,0.122997,0.109391,0.112426,0.305709
规划建设,0.003871,0.161104,0.353225,0.304167,0.117526
其他行政,0.015057,0.496392,0.376880,0.025641,0.108902
规划进行,0.002580,0.314743,0.279924,0.304167,0.113703
应当按照,0.272961,0.593759,0.612639,0.005085,0.015385
国际条约,0.011997,0.348056,0.333985,0.081565,0.068182
投资建设,0.003071,0.314743,0.279924,0.242991,0.117526
执行协议,0.004795,0.397162,0.353225,0.282486,0.040619
必须遵守,0.032838,0.475693,0.446514,0.009569,0.115385
状况报告,0.006530,0.143361,0.339437,0.233010,0.103659
第二十九,0.054835,0.203084,0.048780,0.193878,0.072678
保护知识,0.008037,0.289759,0.221054,0.084531,0.175719
活动造成,0.008947,0.330537,0.325386,0.301333,0.026119
经国务院,0.054560,0.695002,0.564129,0.002762,0.127424
依法批准,0.020125,0.201380,0.408201,0.077206,0.058824
功能区划,0.051437,0.120226,0.564462,0.194313,0.011041
能源利用,0.021797,0.535902,0.335830,0.099609,0.019162
或者直接,0.011223,0.436314,0.427293,0.064516,0.055375
限期淘汰,0.015839,0.302226,0.339437,0.020833,0.218750
规定申请,0.006925,0.289759,0.397666,0.083333,0.110656
机关决定,0.013344,0.246373,0.348235,0.074642,0.086093
问题突出,0.006227,0.297871,0.143282,0.229665,0.120370
防治设施,0.038811,0.213401,0.599192,0.026578,0.055690
海洋生态,0.018755,0.670962,0.486291,0.031822,0.037634
或者建设,0.005108,0.461091,0.410082,0.064516,0.117526
组织可以,0.010983,0.436314,0.373233,0.605114,0.006757
批准或者,0.016110,0.268487,0.442835,0.058824,0.064516
建设贮存,0.004674,0.297871,0.264919,0.117526,0.166667
保护渔业,0.006975,0.447131,0.162183,0.084531,0.168000
单位擅自,0.003277,0.314743,0.279924,0.082515,0.300000
草原统计,0.004906,0.397162,0.264919,0.071895,0.191223
扬尘污染,0.026506,0.455072,0.314015,0.004926,0.379630
部门不得,0.017307,0.411890,0.486291,0.126761,0.015945
控制目标,0.004498,0.161104,0.143282,0.507246,0.132743
禁止进口,0.012362,0.480443,0.427293,0.082090,0.033528
监测工作,0.005763,0.272245,0.410082,0.085799,0.125909
利用或者,0.024737,0.530400,0.427398,0.019162,0.064516
辐射照射,0.005442,0.297871,0.264919,0.904762,0.017778
依法组织,0.002863,0.182356,0.279924,0.077206,0.605114
科技组织,0.003320,0.182356,0.162183,0.114727,0.605114
国家有关,0.179877,0.343579,0.323942,0.097527,0.003487
组织应当,0.010787,0.392185,0.520602,0.605114,0.005085
能源发展,0.008564,0.228137,0.293971,0.099609,0.118442
安全监护,0.014042,0.434238,0.424578,0.109689,0.023669
或者限制,0.009444,0.428069,0.441532,0.064516,0.058333
或者擅自,0.007367,0.182356,0.257704,0.064516,0.300000
部门举报,0.005743,0.381658,0.339437,0.126761,0.071038
领导全国,0.003266,0.182356,0.279924,0.228261,0.175279
标准应当,0.012968,0.614766,0.534636,0.307116,0.005085
违反国家,0.009654,0.428069,0.176613,0.093333,0.097527
其他措施,0.005568,0.302226,0.268792,0.025641,0.571429
规定禁止,0.006837,0.355953,0.397666,0.083333,0.082090
法规规定,0.059096,0.320334,0.524680,0.007994,0.083333
非法占用,0.032692,0.615489,0.334125,0.041943,0.023392
节能措施,0.004369,0.198581,0.264919,0.050193,0.571429
应急管理,0.005505,0.381658,0.339437,0.023729,0.387978
减少污染,0.006262,0.381658,0.127502,0.056738,0.379630
养殖生产,0.015204,0.253710,0.418311,0.051282,0.079301
防止污染,0.041600,0.273643,0.304643,0.004983,0.379630
承担责任,0.012410,0.373325,0.088882,0.025478,0.623932
节能目标,0.007390,0.513324,0.257704,0.050193,0.132743
燃料生产,0.005967,0.302226,0.268792,0.168539,0.079301
部门履行,0.004072,0.161104,0.264919,0.126761,0.292683
予以保护,0.005394,0.461091,0.171482,0.178571,0.084531
应当予以,0.020839,0.583794,0.576452,0.005085,0.178571
排放控制,0.005872,0.272245,0.268792,0.029197,0.507246
畜禽养殖,0.016874,0.525532,0.204302,0.068182,0.051282
场所进行,0.011126,0.408841,0.363613,0.033473,0.113703
其他环境,0.007917,0.365860,0.243511,0.025641,0.347826
海域使用,0.155441,0.943602,0.385269,0.000872,0.127119
责令停止,0.126774,0.412870,0.342923,0.008547,0.040816
管理经济,0.001504,0.198581,0.176613,0.387978,0.305709
提出意见,0.022766,0.409763,0.308448,0.023460,0.092141
全国土壤,0.007028,0.513324,0.176613,0.175279,0.055556
发展基金,0.006443,0.143361,0.410082,0.118442,0.138095
非法批准,0.017090,0.497918,0.294798,0.041943,0.058824
造成损失,0.057702,0.472776,0.031659,0.026119,0.273973
电器电子,0.018148,0.506449,0.253505,0.025434,0.102890
或者依法,0.008820,0.347517,0.397378,0.064516,0.077206
破坏生态,0.015712,0.420610,0.426182,0.057143,0.037634
人工繁育,0.035978,0.719191,0.492145,0.012683,0.037383
根据环境,0.005721,0.381658,0.242127,0.032520,0.347826
促进全国,0.001659,0.198581,0.176613,0.586207,0.175279
民委员会,0.023638,0.169271,0.638343,0.003100,0.744538
从事生产,0.011021,0.436314,0.427293,0.036145,0.079301
程序进行,0.004565,0.297871,0.264919,0.143780,0.113703
给予警告,0.046044,0.333212,0.329466,0.057143,0.020290
防治责任,0.006899,0.182356,0.279924,0.026578,0.623932
组织全国,0.001570,0.198581,0.176613,0.605114,0.175279
控制要求,0.003178,0.182356,0.279924,0.507246,0.070946
机关根据,0.021383,0.235572,0.477352,0.074642,0.032520
发展工作,0.008424,0.117495,0.394893,0.118442,0.125909
经营单位,0.007158,0.380937,0.338795,0.076427,0.082515
接受社会,0.003326,0.314743,0.162183,0.065903,0.518587
的传染病,0.042581,0.730625,0.530994,0.008065,0.043478
组织监测,0.007500,0.129082,0.114802,0.605114,0.085799
税收优惠,0.017927,0.332968,0.225643,0.056180,0.075949
本法第十,0.064177,0.489008,0.516735,0.017348,0.020408
防治标准,0.022013,0.064093,0.498433,0.026578,0.307116
组织有权,0.007081,0.355953,0.316575,0.605114,0.011855
限期恢复,0.013176,0.151756,0.216244,0.020833,0.633333
履行行政,0.005156,0.272245,0.127502,0.292683,0.108902
单位产品,0.009824,0.397162,0.096000,0.082515,0.184492
或者生产,0.006266,0.447131,0.397666,0.064516,0.079301
规定执行,0.023367,0.194995,0.052537,0.083333,0.282486
资源环境,0.002787,0.182356,0.162183,0.196522,0.347826
地方环境,0.006404,0.355953,0.176613,0.040057,0.347826
负责监督,0.004445,0.161104,0.264919,0.136364,0.215976
风险评估,0.042038,0.147783,0.321007,0.033898,0.082474
发展改革,0.011351,0.307561,0.096000,0.118442,0.139665
机关提出,0.019612,0.444607,0.360329,0.074642,0.023460
第三十一,0.050222,0.188172,0.050581,0.136054,0.083782
濒危野生,0.010065,0.273800,0.104497,0.285714,0.066079
予以处罚,0.021085,0.196337,0.179102,0.178571,0.040984
或者减少,0.010684,0.347517,0.397378,0.064516,0.056738
依法公开,0.020443,0.440237,0.609812,0.077206,0.012710
依法需要,0.007010,0.182356,0.279924,0.077206,0.194444
提高粮食,0.004041,0.314743,0.279924,0.076246,0.196850
或者违法,0.005169,0.381658,0.242127,0.064516,0.173333
生态安全,0.013948,0.479193,0.193531,0.037634,0.109689
矿区范围,0.026214,0.524572,0.388046,0.034483,0.029014
资金使用,0.005822,0.302226,0.268792,0.088696,0.127119
控制制度,0.004438,0.161104,0.143282,0.507246,0.102606
活动情况,0.007748,0.182356,0.162183,0.301333,0.077093
供水单位,0.017140,0.227397,0.409004,0.040404,0.082515
根据土地,0.008616,0.500750,0.375847,0.032520,0.100358
涉及国家,0.014546,0.479193,0.233514,0.033333,0.097527
考核评价,0.019879,0.425285,0.228844,0.037791,0.072165
回收利用,0.028166,0.758962,0.615351,0.020906,0.019162
土地统计,0.003117,0.314743,0.279924,0.100358,0.191223
气象台站,0.035386,0.349273,0.474031,0.102524,0.008757
本法第二,0.067255,0.485351,0.047606,0.017348,0.193878
及其制品,0.057099,0.074993,0.603656,0.017699,0.114007
困难地区,0.002227,0.198581,0.176613,0.293478,0.227468
适用本法,0.040418,0.305471,0.255843,0.094737,0.017348
依法赔偿,0.004725,0.297871,0.143282,0.077206,0.333333
保护要求,0.007172,0.355953,0.338795,0.084531,0.070946
有关环境,0.030480,0.409021,0.342494,0.003487,0.347826
及时组织,0.003153,0.182356,0.279924,0.053097,0.605114
部门可以,0.040900,0.270287,0.546222,0.126761,0.006757
冻结决定,0.008191,0.248550,0.338795,0.086957,0.086093
前款规定,0.099779,0.695489,0.485556,0.001838,0.083333
组织从事,0.006098,0.143361,0.268792,0.605114,0.036145
监测预警,0.012931,0.524572,0.363613,0.085799,0.024194
或者没有,0.006929,0.447131,0.316575,0.064516,0.080586
废物污染,0.183240,0.046166,0.031324,0.050505,0.379630
或者国家,0.006245,0.380937,0.338795,0.064516,0.097527
或者单位,0.011987,0.192812,0.410082,0.064516,0.082515
指导农业,0.004639,0.297871,0.143282,0.130699,0.193042
工业设备,0.002820,0.182356,0.279924,0.140459,0.244552
识别标志,0.009260,0.248550,0.257704,0.138889,0.059925
收集处理,0.005756,0.302226,0.410082,0.016985,0.405738
预警信息,0.007042,0.381658,0.339437,0.024194,0.221889
有关行政,0.066599,0.724338,0.267335,0.003487,0.108902
非法使用,0.006909,0.513324,0.257704,0.041943,0.127119
依法应当,0.040659,0.514681,0.593063,0.077206,0.005085
企业依法,0.002764,0.182356,0.162183,0.770950,0.077206
调查活动,0.003211,0.182356,0.162183,0.169492,0.301333
节能服务,0.004585,0.297871,0.143282,0.050193,0.492063
监测管理,0.002837,0.314743,0.162183,0.085799,0.387978
检验机构,0.007686,0.248550,0.456537,0.087766,0.062372
审批手续,0.040474,0.473155,0.376423,0.039106,0.016920
提供技术,0.003365,0.314743,0.279924,0.032258,0.497288
规定处罚,0.026425,0.266523,0.197502,0.083333,0.040984
免疫规划,0.001867,0.198581,0.176613,0.237762,0.304167
自动监测,0.023336,0.384985,0.172730,0.035471,0.085799
处理收费,0.004428,0.161104,0.264919,0.405738,0.061571
控制或者,0.002811,0.182356,0.279924,0.507246,0.064516
部门依据,0.025587,0.175008,0.320842,0.126761,0.025735
知识教育,0.002353,0.198581,0.176613,0.175719,0.322511
卫生检疫,0.006323,0.272245,0.268792,0.271104,0.037234
依法作出,0.031464,0.484151,0.469307,0.077206,0.008448
设施安全,0.020432,0.066979,0.557326,0.055690,0.109689
责令限期,0.138306,0.483187,0.390614,0.008547,0.020833
从事环境,0.005608,0.272245,0.242127,0.036145,0.347826
可以组织,0.008248,0.309122,0.445354,0.006757,0.605114
城市社区,0.003205,0.314743,0.162183,0.169576,0.167286
部门意见,0.006057,0.192812,0.339437,0.126761,0.092141
需要临时,0.005153,0.297871,0.264919,0.194444,0.058394
国家海洋,0.028009,0.507888,0.104497,0.097527,0.031822
直接损失,0.011338,0.279133,0.096000,0.055375,0.273973
或者扩大,0.007497,0.314743,0.162183,0.064516,0.186667
进行消毒,0.006230,0.381658,0.339437,0.113703,0.050167
禁止从事,0.010727,0.378424,0.380713,0.082090,0.036145
流行趋势,0.007304,0.192812,0.339437,0.034539,0.276596
的水污染,0.012068,0.528927,0.233514,0.008065,0.379630
林业生产,0.015746,0.337675,0.265957,0.040678,0.079301
依法负责,0.004116,0.297871,0.353225,0.077206,0.136364
质量安全,0.004600,0.161104,0.264919,0.211679,0.109689
机关负责,0.015018,0.162179,0.183828,0.074642,0.136364
严格保护,0.013492,0.366668,0.374759,0.029070,0.084531
安全利用,0.010996,0.541228,0.363613,0.109689,0.019162
或者处置,0.017667,0.323029,0.501999,0.064516,0.024590
利用活动,0.011123,0.182356,0.388046,0.019162,0.301333
协调机制,0.023726,0.465326,0.376109,0.044487,0.024540
应急响应,0.008748,0.500750,0.445354,0.023729,0.097826
国家建立,0.085279,0.197855,0.800111,0.097527,0.003436
或者行政,0.008343,0.279133,0.275741,0.064516,0.108902
事故应急,0.063622,0.136986,0.638002,0.034048,0.023729
落后设备,0.003524,0.314743,0.279924,0.059072,0.244552
有关标准,0.018305,0.462718,0.492731,0.003487,0.307116
土地调查,0.002978,0.314743,0.279924,0.100358,0.169492
规定享受,0.004660,0.297871,0.143282,0.083333,0.268293
气象资料,0.004822,0.297871,0.353225,0.102524,0.085217
规划以及,0.007777,0.444012,0.495814,0.304167,0.008493
从事气象,0.007833,0.380937,0.397666,0.036145,0.102524
销售或者,0.016471,0.082176,0.250489,0.200935,0.064516
开展环境,0.006925,0.447131,0.338795,0.012026,0.347826
利用技术,0.004374,0.297871,0.353225,0.019162,0.497288
保护责任,0.002807,0.182356,0.162183,0.084531,0.623932
或者从事,0.011107,0.419658,0.402860,0.064516,0.036145
运输组织,0.001883,0.198581,0.176613,0.109375,0.605114
生态破坏,0.025141,0.226396,0.356608,0.037634,0.057143
变化趋势,0.004389,0.182356,0.279924,0.070336,0.276596
煤炭质量,0.003521,0.182356,0.279924,0.114155,0.211679
违反法律,0.012888,0.429126,0.228795,0.093333,0.036771
司法行政,0.003016,0.182356,0.279924,0.257642,0.108902
应急准备,0.010357,0.359685,0.397378,0.023729,0.122807
建设或者,0.007645,0.228137,0.325386,0.117526,0.064516
资源义务,0.005929,0.302226,0.268792,0.196522,0.045064
从事煤炭,0.006595,0.461091,0.339437,0.036145,0.114155
草原所有,0.012797,0.429126,0.155647,0.071895,0.069231
气象科学,0.005094,0.297871,0.143282,0.102524,0.190844
编制单位,0.005855,0.381658,0.339437,0.067961,0.082515
应当加强,0.152579,0.539987,0.670676,0.005085,0.015138
长江河口,0.010016,0.500750,0.445354,0.061879,0.030733
政府决策,0.001735,0.198581,0.176613,0.376324,0.185430
机构及其,0.018210,0.564441,0.374059,0.062372,0.017699
需要继续,0.005518,0.297871,0.264919,0.194444,0.050000
个人扰乱,0.002325,0.198581,0.176613,0.328042,0.157895
基本草原,0.006243,0.381658,0.339437,0.072619,0.071895
部门及其,0.022344,0.187557,0.445937,0.126761,0.017699
或者农业,0.014334,0.162179,0.144238,0.064516,0.193042
统一调度,0.006247,0.381658,0.410082,0.175549,0.024213
全国土地,0.002650,0.314743,0.279924,0.175279,0.100358
林业发展,0.007066,0.380937,0.316575,0.040678,0.118442
灾害防御,0.015592,0.183077,0.432072,0.166667,0.019934
噪声排放,0.016164,0.087276,0.225643,0.437500,0.029197
执法部门,0.002709,0.182356,0.279924,0.231638,0.126761
城市市区,0.022095,0.260395,0.445840,0.169576,0.009315
